candidate_id,representation,fact_authority_mutation_owner,transform,persistence_location,lifecycle,aggregation_fusion,inference_backend,egress_retention_consent,scope,admissibility_predicate,initial_status,prune_or_scope_rationale,migration_rollback_contract,fact_classes,evidence_status
C0,current_source_formats,current_fact_inventory,existing_reader,N/A,N/A,logical_mission,none,none,brownfield,current CLI and Git remain available,admitted,control baseline,no migration,all_current_authorities,preregistered_no_results
C1,current_source_formats,derived_no_writer,existing_reader,hidden_local_cache,on_demand_hash_cache,logical_mission,none,local_retained,brownfield,dossier hash matches logical mission read,admitted,existing structured baseline,delete cache and reread sources,inventory_identity_hashes,preregistered_no_results
C2,property_graph,current_fact_inventory,author_augmented_deterministic,hidden_local_cache,transactional_incremental,repository,none,local_retained,brownfield,typed authored links have one canonical writer,design_only,authoring burden not empirically tested,remove optional links after preserving source commit,typed_authored_ids_links,preregistered_no_results
C3a,DoclingDocument,derived_no_writer,docling_structural,ephemeral_memory,explicit_disposable,artifact,none,none,brownfield,structural fidelity and privacy gates pass,testable,isolates parser value,discard memory,document_structure,preregistered_no_results
C3b,DoclingDocument,derived_no_writer,docling_structural,hidden_local_cache,on_demand_hash_cache,logical_mission,none,local_retained,brownfield,C3a plus lifecycle gates pass,testable,persisted structural sidecar is separate candidate,delete cache,document_structure,preregistered_no_results
C4,property_graph,derived_no_writer,schema_extraction,hidden_local_cache,on_demand_hash_cache,logical_mission,pinned_local,local_retained,brownfield,all semantic and lifecycle gates pass,testable_semantic,semantic backend required,delete cache and model residue,inferred_entities_properties_edges,preregistered_no_results
C5a,property_graph,derived_no_writer,deterministic_native,hidden_local_cache,transactional_incremental,repository,none,local_retained,brownfield,utility and lifecycle gates pass,testable,native graph competitor,delete cache,explicit_ids_links_authority_events,preregistered_no_results
C5b,composite,derived_no_writer,ordered_hybrid,hidden_local_cache,transactional_incremental,repository,pinned_local,local_retained,brownfield,C5a remains valid and enrichment passes semantic gates,testable_semantic,semantic failure must degrade to C5a,disable enrichment and delete semantic layer,explicit_plus_inferred_facts,preregistered_no_results
C6a,DoclingDocument,derived_no_writer,docling_structural,one_time_export,explicit_disposable,artifact,none,none,brownfield,export labelled noncanonical and structural gates pass,testable,one-time structural export,delete export,document_structure,preregistered_no_results
C6b,property_graph,derived_no_writer,schema_extraction,one_time_export,explicit_disposable,repository,pinned_local,local_retained,brownfield,export labelled noncanonical and semantic gates pass,testable_semantic,one-time semantic export,delete export and local residue,inferred_entities_properties_edges,preregistered_no_results
C7g,DoclingDocument,Docling_writer,docling_structural,canonical_local_store,write_through_canonical,logical_mission,none,local_retained,greenfield,one-way creation plus deterministic byte-safe Markdown view,counterfactual,greenfield authority posture,preserve initial source export and restore sole Markdown writer,all_mission_content,preregistered_no_results
C7b,DoclingDocument,Docling_writer,docling_structural,canonical_local_store,write_through_canonical,logical_mission,none,local_retained,brownfield,transactional cutover plus full consumer migration and rollback,counterfactual_high_risk,requested existing-mission conversion posture,preserve pre-cutover sources and atomically restore sole Markdown writer,all_mission_content,preregistered_no_results
C8g,typed_semantic_records,semantic_model_writer,schema_extraction,canonical_local_store,write_through_canonical,logical_mission,pinned_local,local_retained,greenfield,deterministic views and one semantic writer,counterfactual,greenfield authority posture,preserve initial source export and restore sole Markdown writer,typed_semantic_facts,preregistered_no_results
C8b,typed_semantic_records,semantic_model_writer,schema_extraction,canonical_local_store,write_through_canonical,logical_mission,pinned_local,local_retained,brownfield,transactional cutover plus full consumer migration and rollback,counterfactual_high_risk,requested existing-mission conversion posture,preserve pre-cutover sources and atomically restore sole Markdown writer,typed_semantic_facts,preregistered_no_results
C9g,property_graph,graph_writer,author_augmented_deterministic,canonical_local_store,write_through_canonical,repository,none,local_retained,greenfield,deterministic Markdown view and one graph writer,counterfactual,greenfield authority posture,preserve initial source export and restore sole Markdown writer,all_graph_facts,preregistered_no_results
C9b,property_graph,graph_writer,author_augmented_deterministic,canonical_local_store,write_through_canonical,repository,none,local_retained,brownfield,transactional cutover plus full consumer migration and rollback,counterfactual_high_risk,requested existing-mission conversion posture,preserve pre-cutover sources and atomically restore sole Markdown writer,all_graph_facts,preregistered_no_results
P1,property_graph,derived_no_writer,schema_extraction,hosted_store,background,cross_repository,remote_provider,remote_default,all,never admissible under explicit consent gate,pruned,remote-default inference and retention forbidden,N/A,inferred_entities_properties_edges,preregistered_no_results
P2,property_graph,derived_no_writer,ordered_hybrid,committed_sidecar,CI,repository,pinned_local,local_retained,brownfield,only if deterministic diff and staleness gates pass,high_risk,kept visible for empirical rejection,remove sidecar commit and regenerate sources unchanged,explicit_plus_inferred_facts,preregistered_no_results
P3,property_graph,derived_no_writer,deterministic_native,hidden_local_cache,transactional_incremental,cross_repository,none,local_retained,multi_repo,permission intersection and identity equivalence proven,pruned_pending_contract,cross-repository fusion contract absent,delete cache,explicit_ids_links_authority_events,preregistered_no_results
P4,property_graph,derived_no_writer,deterministic_native,hidden_local_cache,on_demand_hash_cache,repository,none,local_retained,brownfield,never admissible,pruned,Doctrine Reference Graph namespace belongs to another bounded context,N/A,doctrine_graph_collision,preregistered_no_results
P5,composite,current_fact_inventory,ordered_hybrid,committed_sidecar,write_through_canonical,logical_mission,pinned_local,local_retained,brownfield,never admissible without conflict-free single authority,pruned,bidirectional dual editing forbidden,N/A,all_mission_content,preregistered_no_results
