source_id,type,reference,relevance
SRC-01,spec,kitty-specs/rc3-execution-mode-consolidation-01M0GGX1/spec.md,"Mission LIGHT DRAFT: scope, FRs, ACs, resolved operator decisions"
SRC-02,code,src/specify_cli/ownership/models.py,"Enum #1 definition + OwnershipManifest field"
SRC-03,code,src/mission_runtime/context.py,"Enum #2 (dead) definition"
SRC-04,code,src/mission_runtime/__init__.py,"Enum #2 re-export surface"
SRC-05,test,tests/architectural/test_mission_runtime_surface.py,"Arch surface pin for enum #2"
SRC-06,adr,docs/adr/3.x/2026-06-07-1-execution-state-canonical-surface.md,"Canonical execution-state surface governance"
SRC-07,external,spec_kitty_events.status.ExecutionMode,"Enum #3 external published type (out of scope to change)"
SRC-08,ticket,#3416,"Home ticket (widened to include ExecutionMode as separated acceptance block)"
SRC-09,ticket,#3590,"M6 — depends on M7; adds a non-diff completion-mode member to the renamed enum"
SRC-10,charter,.kittify/charter/charter.md,"Canonical-source unification, terminology canon, arch-gate discipline"
