evidence_id,timestamp,evidence_kind,source_id,claim,method,confidence,limitation,raw_result,raw_sha256
EV-001,2026-08-18T10:00:00Z,repository,dg-schema;dg-relationships,A Docling knowledge graph is schema-shaped semantic extraction into Pydantic records and a directed graph; domain meaning comes from the authored template.,Pinned upstream documentation and source review,high,Capability evidence not Spec Kitty utility,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-002,2026-08-18T10:01:00Z,repository,dg-inputs,Markdown is structurally normalized into a DoclingDocument; semantic graph extraction additionally requires a schema and inference backend.,Pinned input-contract review,high,No semantic candidate executed,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-003,2026-08-18T10:02:00Z,repository,dg-relationships,Graph edge labels and relationship-bearing fields are authored in the Pydantic template rather than discovered from Markdown structure alone.,Pinned relationship-contract review,high,Ontology quality unmeasured,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-004,2026-08-18T10:03:00Z,repository,dg-converter;dg-merge,Node IDs and merge behavior are deterministic for declared identity fields but repository mission and artifact namespaces must be explicitly modeled.,Pinned converter and merge source review,high,No cross-mission candidate executed,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-005,2026-08-18T10:04:00Z,repository,dg-provenance,Provenance can ground nodes to compact source views but does not guarantee P0 byte spans for every property and edge.,Pinned model binder and anchor-scan source review,high,Inference about negative guarantee bounded to inspected implementation,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-006,2026-08-18T10:05:00Z,repository,dg-export,Docling Graph supports several document and graph export surfaces useful for interoperability and visualization.,Pinned export-contract review,high,Capability evidence not workflow value,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-007,2026-08-18T10:06:00Z,repository,dg-packaging,The package declares Python 3.10-3.13 and macOS Linux and Windows support while introducing Docling NetworkX LiteLLM and a broad transitive dependency set.,Pinned package metadata review,high,Classifiers are not platform measurements,source-register.csv,N/A_pinned_git_object_19815e3147503f78a06e263255667e237830bab9
EV-008,2026-08-18T10:07:00Z,repository,sk-artifacts;sk-placement,A logical mission spans artifact kinds and PRIMARY or COORD partitions; recursive Markdown-directory reads can be incomplete or stale.,Pinned artifact and placement authority review,high,In-repo contracts only,source-register.csv,N/A_pinned_git_object_cf0f7e3a7db149f8b73006f9bca8bb97df880704
EV-009,2026-08-18T10:08:00Z,repository,sk-frontmatter;sk-events,WP frontmatter is authored structured authority while dynamic lifecycle state belongs to event logs.,Pinned writer and event-reader review,high,Does not enumerate out-of-tree writers,source-register.csv,N/A_pinned_git_object_cf0f7e3a7db149f8b73006f9bca8bb97df880704
EV-010,2026-08-18T10:09:00Z,repository,sk-dossier-code,The Mission Dossier already inventories artifacts and supplies hashes parity missing-artifact detection and snapshots without Docling.,Pinned implementation review,high,Dossier has no semantic cross-artifact Q1-Q6 joins,source-register.csv,N/A_pinned_git_object_cf0f7e3a7db149f8b73006f9bca8bb97df880704
