atom_id,query_id,fixture_id,atom_type,subject,predicate,object,source_path,source_blob,start_byte,end_byte,start_line,end_line,span_sha256,critical,required_provenance,review_status
A001,Q1,F-EXEC-WP12,reference,exec:WP12,implements,exec:FR-015,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper.md,1d1d9456e8545b1366a5b87b30a31e7fa4554941,122,130,7,7,fcfcf7071731075d0324965ca26672872946a2d567492dd859da620fea4e5aed,yes,P0,approved_two_reviewers_2026-08-18
A002,Q1,F-EXEC-WP12,verdict,exec:WP12,review_verdict,approved,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md,0073c6d298182bb180a895db3670369f6d30e28f,182,199,8,8,70974836a4089b448cfb020911c5522f08679d79017441e5040549eb49a0afcc,yes,P0,approved_two_reviewers_2026-08-18
A003,Q1,F-EXEC-WP12,proof,exec:WP12,pytest_result,8 passed:SC-7_3-to-1-collapse,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md,0073c6d298182bb180a895db3670369f6d30e28f,2611,2793,64,66,0c489c79c10878adb24ec3cbc7d7ee4803eca1f94c46d11e8105e82051c57157,yes,P0,approved_two_reviewers_2026-08-18
A004,Q1,F-EXEC-WP12,acceptance,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,13,13,11b89d6f46d2af5e4be1c6f2fc1b618b06a1798fcfbf7b819bcf2abdcb724ffb,yes,P0,approved_two_reviewers_2026-08-18
A005,Q2,F-WORKTREE-WP02,dependency,worktree:WP02,depends_on,worktree:WP01,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,93,99,5,5,6764c86d701e81f13c321d3b31357bd0ea6134cb1a14deadbf8eaa4ffd168766,yes,P0,approved_two_reviewers_2026-08-18
A006,Q2,F-WORKTREE-WP02,constraint,worktree:WP02,merge_target,fix/worktree-owned-root-3328-v2,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,233,285,15,15,c433347463135471cc9d47a0a5a470df54e0934504fb281825d8b8cfddf200f2,yes,P0,approved_two_reviewers_2026-08-18
A007,Q3,F-WORKTREE-WP02,reference,worktree:FR-001,implemented_by,worktree:WP02,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,7,7,375d4152816cb189673f4f8434b6b1642413116dab1727fe248379f8fc3b61cb,yes,P0,approved_two_reviewers_2026-08-18
A008,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/cli/commands/agent/mission_create.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,959,1013,33,33,7242e8f5f25dbf1df40a9d8e3ac2a0789499286186e5f0bb4d6020368008ea41,yes,P0,approved_two_reviewers_2026-08-18
A009,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/core/mission_creation.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1014,1056,34,34,b6d1d89ed7b84d9ec0b4479ec9e50e70f24ece9548af387a5a1b8d976b5145c7,yes,P0,approved_two_reviewers_2026-08-18
A010,Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/mission_runtime/__init__.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1057,1090,35,35,9da3610ffde1166f65b556c3082167a79d2928db699d1903ee06b23c28be49ea,yes,P0,approved_two_reviewers_2026-08-18
