candidate_id,authority_posture,representation,fidelity,provenance,semantic_quality,utility,lifecycle_identity,privacy,operational_default,cross_platform,consumer_migration,weighted_score,disposition,evidence_ids,decision_basis
C0,current authorities,current formats,N/A,N/A,N/A,N/A,PASS,N/A,N/A,N/A,N/A,N/A_control,RETAIN_CONTROL,EV-008;EV-009;EV-012,No new representation or migration
C1,current authorities plus existing derived readers,current formats,N/A,N/A,N/A,UNKNOWN,PASS,N/A,N/A,N/A,N/A,N/A_not_all_PASS,RETAIN_CONTROL,EV-010;EV-024,Existing dossier is retained; B1 was annotation replay and supplies no utility score
C2,current authorities plus authored links,deterministic graph,N/A,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-026,Design-only option needs demand authoring and lifecycle evidence
C3a,current authorities plus ephemeral projection,DoclingDocument,FAIL,UNKNOWN,N/A,UNKNOWN,N/A,UNKNOWN,FAIL,UNKNOWN,N/A,N/A_gate_FAIL,REJECT,EV-015;EV-016;EV-019;EV-022,Declared structural-fidelity and default-footprint predicates fail
C3b,current authorities plus cached projection,DoclingDocument,FAIL,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,UNKNOWN,N/A,N/A_gate_FAIL,REJECT,EV-015;EV-016;EV-019;EV-022,Structural loss plus untested cache lifecycle and excessive default footprint
C4,current authorities plus semantic cache,property graph,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-005;EV-019;EV-022;EV-023,Optional versus default integration is unspecified and semantic privacy lifecycle utility are unknown
C5a,current authorities plus native cache,deterministic property graph,N/A,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-024;EV-025;EV-026,Lowest-authority-disruption hypothesis only; fair utility and lifecycle evidence absent
C5b,current authorities plus native and semantic cache,composite graph,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-005;EV-023;EV-025;EV-026,Core and enrichment both lack required evidence
C6a,current authorities plus disposable export,DoclingDocument,FAIL,UNKNOWN,N/A,UNKNOWN,N/A,UNKNOWN,N/A,UNKNOWN,N/A,N/A_gate_FAIL,REJECT,EV-015;EV-016;EV-019,One-time label does not rescue required structural fidelity; default integration gate is not applicable
C6b,current authorities plus disposable export,property graph,N/A,UNKNOWN,UNKNOWN,UNKNOWN,N/A,UNKNOWN,N/A,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-005;EV-019;EV-023,No semantic backend utility privacy or cross-platform evidence; disposable use is not default integration
C7g,canonical Docling store greenfield,DoclingDocument,UNKNOWN,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-015;EV-016;EV-019,Default exporter was tested on brownfield sources; no greenfield custom renderer or integration posture was tested
C7b,canonical Docling store brownfield,DoclingDocument,FAIL,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,FAIL,UNKNOWN,UNKNOWN,N/A_gate_FAIL,REJECT,EV-008;EV-009;EV-012;EV-015;EV-016;EV-019,Observed default round-trip fidelity fails; consumer migration remains untested
C8g,canonical semantic records greenfield,typed semantic model,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-005;EV-023,No model renderer lifecycle privacy utility or platform evidence
C8b,canonical semantic records brownfield,typed semantic model,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-008;EV-009;EV-012;EV-023,Authority/consumer cutover and semantic behavior are untested rather than observed failures
C9g,canonical graph greenfield,deterministic property graph,UNKNOWN,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-004;EV-026,Graph-owned Markdown renderer and lifecycle were not built or tested
C9b,canonical graph brownfield,deterministic property graph,UNKNOWN,UNKNOWN,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N/A_not_all_PASS,DEFER_UNEVALUATED,EV-008;EV-009;EV-012;EV-026,Authority/consumer cutover renderer lifecycle and utility are untested
