stratum,selected_path
role:spec,kitty-specs/documentation-mission-composition-fixup-01KQ6N5X/spec.md
role:plan,kitty-specs/sonar-qa-config-remediation-01KWYCX7/plan.md
role:tasks,kitty-specs/doctrine-canonical-structure-remediation-01KYEYSD/tasks.md
role:wp_prompt,kitty-specs/consolidate-charter-bundle-01KXSYB9/tasks/WP01-schema-manifest-keystone.md
role:wp_review,kitty-specs/common-docs-structural-move-01KW3SBK/tasks/WP12-frontmatter-backfill-authoring/review-cycle-2.md
role:research_findings,kitty-specs/lifecycle-gate-execution-context-01KY72GQ/research/independent-review-2026-07-23.md
role:other,kitty-specs/coord-shadows-followups-01KXBCZ1/traces/design-trace.md
era:legacy,kitty-specs/020-autonomous-multi-agent-orchestrator/tasks/WP05-scheduler.md
era:ulid,kitty-specs/common-docs-consolidation-01KW3Q6M/issue-matrix.md
mission_type:software-dev,kitty-specs/supply-chain-security-checks-layer-01KZBFBS/analysis-report.md
mission_type:research,kitty-specs/019-autonomous-multi-agent-orchestration-research/tasks/WP01-research-known-cli-agents.md
mission_type:documentation,kitty-specs/018-merge-preflight-documentation/tasks/WP02-troubleshooting-guide.md
query_fixture:F-GOLD-A001,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper.md
query_fixture:F-GOLD-A015,kitty-specs/execution-context-unification-01KTPKST/spec.md
query_fixture:F-EXEC-WP12,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md
query_fixture:F-WORKTREE-WP02,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md
query_fixture:F-GATE-PREPLAN,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md
query_fixture:F-ID-COLLISION,kitty-specs/test-suite-friction-remediation-01KXDKBX/spec.md
size:small,kitty-specs/stable-320-p0-cli-stabilization-01KQSNGY/mission-review-report.md
size:median,kitty-specs/release-320-workflow-reliability-01KQKV85/tasks/WP05-sync-finalization-output-hygiene.md
size:p90,kitty-specs/080-browser-mediated-oauth-cli-auth/mission-review.md
size:large_runnable,kitty-specs/egress-refusal-consolidation-3110-01KYW895/spec.md
topology:coord,kitty-specs/up-mission-type-seam-01KZY1JB/tasks/WP07-cli-surface-fixes.md
topology:lanes,kitty-specs/read-side-seam-primary-primitive-closure-01KYKMMT/quickstart.md
topology:lanes_with_coord,kitty-specs/assertive-test-suite-sanitation-01KZME3P/tasks/WP01-census-evidence-foundation/review-cycle-2.md
topology:single_branch,kitty-specs/journal-project-consent-3030-01KYKWQS/tracer-tooling-friction.md
mission_acceptance:accepted,kitty-specs/tooling-stability-guard-coherence-01KTRC04/decisions/DM-01KTRFSF2S8CAPX6YD6QYF3MM6.md
mission_acceptance:not_accepted,kitty-specs/079-post-555-release-hardening/tasks.md
syntax:frontmatter,kitty-specs/doctrine-governance-fidelity-01KW42KY/tasks/WP09-retire-override-allowlists.md
syntax:table,kitty-specs/charter-mediated-doctrine-selection-01KRTZCA/tasks.md
syntax:fence,kitty-specs/refactor-stable-gate-substrate-01KWK3FY/tasks/WP02-untrusted-audit-identity.md
syntax:link,kitty-specs/read-side-placement-seam-migration-01KYHP67/checklists/requirements.md
syntax:html_comment,kitty-specs/012-documentation-mission/tasks.md
syntax:checkbox,kitty-specs/066-review-loop-stabilization/tasks/WP02-focused-rejection-recovery.md
syntax:non_ascii,kitty-specs/rename-ceremony-to-status-commit-01KSPN6C/tasks/WP06-regression-guard.md
syntax:cross_file_id,kitty-specs/runtime-state-corpus-cutover-01KXZ0AX/HANDOVER.md
control:no_target_syntax,kitty-specs/004-modular-code-refactoring/research.md
