query_id,fixture_id,atom_type,subject,predicate,object,source_path,source_blob,start_byte,end_byte,status
Q1,F-EXEC-WP12,reference,exec:WP12,implements,exec:FR-015,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper.md,1d1d9456e8545b1366a5b87b30a31e7fa4554941,122,130,asserted
Q1,F-EXEC-WP12,acceptance,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,asserted
Q2,F-WORKTREE-WP02,dependency,worktree:WP02,depends_on,worktree:WP01,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,93,99,asserted
Q2,F-WORKTREE-WP02,constraint,worktree:WP02,merge_target,fix/worktree-owned-root-3328-v2,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,233,285,asserted
Q3,F-WORKTREE-WP02,reference,worktree:FR-001,implemented_by,worktree:WP02,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/cli/commands/agent/mission_create.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,959,1013,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/specify_cli/core/mission_creation.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1014,1056,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,src/mission_runtime/__init__.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1057,1090,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/mission_runtime/test_create_time_write_target.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1181,1237,asserted
Q5,F-EXEC-LIFECYCLE,mission_status,exec:mission,accepted_at,2026-06-10T05:45:00.743647+00:00,kitty-specs/execution-context-unification-01KTPKST/meta.json,f33744f93151e2f1b48e3e002b914d1e50b2d1f1,395,444,asserted
Q6,F-ID-COLLISION,identity,repo:worktree-owned-root:FR-001,label,FR-001,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,118,126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/agent/test_agent_feature.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1091,1126,asserted
Q3,F-WORKTREE-WP02,ownership,worktree:WP02,owns,tests/architectural/test_mission_runtime_surface.py,kitty-specs/worktree-owned-root-3328-01KZRG01/tasks/WP02-mission-create-integration.md,000f577b2b4ec751e9ebc7fad446e987445fe6d7,1127,1180,asserted
