revision,path,blob_sha,content_sha256,bytes,mission,role,era,mission_type,topology,mission_acceptance,features,selection_reasons
cf0f7e3a7,kitty-specs/004-modular-code-refactoring/research.md,1940eeb07d615e5670ee7de2466ac3f9ff44f67b,a0d47c97a66ac460d167eb7b4e4d149ab84ed8b4cca41f4ecc39573bec19811b,6467,004-modular-code-refactoring,research_findings,legacy,research,single_branch,not_accepted,,control:no_target_syntax
cf0f7e3a7,kitty-specs/012-documentation-mission/tasks.md,20c9822c549a5ec4e2c94ca4038185fc3e25ba80,03e1de5ca66193148df24b9eff70670d0e2db581d0cef65b1a7c1db556dc71e1,25394,012-documentation-mission,tasks,legacy,software-dev,single_branch,not_accepted,checkbox;cross_file_id;fence;frontmatter;html_comment;non_ascii;table,syntax:html_comment
cf0f7e3a7,kitty-specs/018-merge-preflight-documentation/tasks/WP02-troubleshooting-guide.md,1eafc343917e49d2c286815021a56ff9f9161f3f,00f03027deb6da9b13feb7bea1495b0d70a52c3658b4bc2c49207c7bc8b24997,10245,018-merge-preflight-documentation,wp_prompt,legacy,documentation,single_branch,not_accepted,checkbox;cross_file_id;frontmatter;non_ascii;table,mission_type:documentation
cf0f7e3a7,kitty-specs/019-autonomous-multi-agent-orchestration-research/tasks/WP01-research-known-cli-agents.md,eca456a9d607f488ad2c33d5b5cc72891e70153d,00fe42f4acd03f17fd66b06669507d376d86fda31546dfaf9cab1285b5e9cfd3,7439,019-autonomous-multi-agent-orchestration-research,wp_prompt,legacy,research,single_branch,not_accepted,checkbox;cross_file_id;frontmatter;non_ascii;table,mission_type:research
cf0f7e3a7,kitty-specs/020-autonomous-multi-agent-orchestrator/tasks/WP05-scheduler.md,41cdfb754b02b9e7c3ee947fc99769d1eee32ddd,003d90b3a8b88445883ce1d85e0f379b5e4a96361ece87348a5beeb12d344e6c,10099,020-autonomous-multi-agent-orchestrator,wp_prompt,legacy,software-dev,single_branch,not_accepted,checkbox;cross_file_id;fence;frontmatter;link;non_ascii;table,era:legacy
cf0f7e3a7,kitty-specs/066-review-loop-stabilization/tasks/WP02-focused-rejection-recovery.md,9faa5d8854d97c3c2731565838ee29753dee07fd,009f89c6afa32c66f3abefbab1d09dce5618b04af2bd9fd7cb65f4074c5117f4,10477,066-review-loop-stabilization,wp_prompt,legacy,software-dev,lanes,not_accepted,checkbox;cross_file_id;frontmatter;link;non_ascii,syntax:checkbox
cf0f7e3a7,kitty-specs/079-post-555-release-hardening/tasks.md,ac3df24c76c9ee6bcb7f14b6ac55e4c74af4dba6,008b11def9aa5a775c2137f0159560192e956b8cfd297d20f49b5b2078e4487b,20302,079-post-555-release-hardening,tasks,legacy,software-dev,lanes,not_accepted,checkbox;cross_file_id;fence;frontmatter;link;non_ascii;table,mission_acceptance:not_accepted
cf0f7e3a7,kitty-specs/080-browser-mediated-oauth-cli-auth/mission-review.md,78da24866fc896a7dc1081ba8c53fb9018dbbb54,e7ef48d96995de184189c8135e990620dc58b2a1f5e6577bcb6a9249b895609a,19006,080-browser-mediated-oauth-cli-auth,other,legacy,software-dev,lanes,not_accepted,cross_file_id;fence;frontmatter;non_ascii;table,size:p90
cf0f7e3a7,kitty-specs/assertive-test-suite-sanitation-01KZME3P/tasks/WP01-census-evidence-foundation/review-cycle-2.md,a5c1c3e968cdd30c3bf215b38c79c885f894a469,052ccc1b4a4c4f6bbbd59abe383ef7170c84c4ffda7fa3de6d98f0359309f0e9,4013,assertive-test-suite-sanitation-01KZME3P,wp_review,ulid,software-dev,lanes_with_coord,not_accepted,cross_file_id;frontmatter;non_ascii,topology:lanes_with_coord
cf0f7e3a7,kitty-specs/charter-mediated-doctrine-selection-01KRTZCA/tasks.md,c74c794b53cef18fdb7e12ae59c96c8bda0fc4b4,00abee9c43cf81a967c969e97169e4682cfd30c0138865cc218a8c0c04edeb2a,12764,charter-mediated-doctrine-selection-01KRTZCA,tasks,ulid,software-dev,lanes,not_accepted,cross_file_id;frontmatter;link;non_ascii;table,syntax:table
cf0f7e3a7,kitty-specs/common-docs-consolidation-01KW3Q6M/issue-matrix.md,46b7afe544eaef9bd3106fa605f6f9472165eb24,001bc0980fa90ec14d1ae19c002bc34aa9ac56e2609c958a92817e24b4662b32,1479,common-docs-consolidation-01KW3Q6M,other,ulid,software-dev,lanes,not_accepted,cross_file_id;non_ascii;table,era:ulid
cf0f7e3a7,kitty-specs/common-docs-structural-move-01KW3SBK/tasks/WP12-frontmatter-backfill-authoring/review-cycle-2.md,7b63c6e6072d46901c1600aef54895290cce1558,016945800cc91bb339a20d1b7117148877ce81e9b4a3caf6a17d758aba771deb,7111,common-docs-structural-move-01KW3SBK,wp_review,ulid,software-dev,single_branch,accepted,cross_file_id;fence;frontmatter;non_ascii,role:wp_review
cf0f7e3a7,kitty-specs/consolidate-charter-bundle-01KXSYB9/tasks/WP01-schema-manifest-keystone.md,bb34747b75fbe69d6e6b7afc1206ed4f1aeb1e37,003167f6d08c2e20d8967a56caf3678b29b41704a2191d62857efe23fe8db800,9151,consolidate-charter-bundle-01KXSYB9,wp_prompt,ulid,software-dev,lanes,accepted,cross_file_id;frontmatter;link;non_ascii,role:wp_prompt
cf0f7e3a7,kitty-specs/coord-shadows-followups-01KXBCZ1/traces/design-trace.md,701c5cc9be8141c7830623162babbda0cd9c76ac,000352fbaae43f4c16eae6055d956efc36a78fc3f44b00f4477cb9c78d202c43,4676,coord-shadows-followups-01KXBCZ1,other,ulid,software-dev,single_branch,not_accepted,cross_file_id;html_comment;non_ascii,role:other
cf0f7e3a7,kitty-specs/doctrine-canonical-structure-remediation-01KYEYSD/tasks.md,56c8210c1acb0022a31b3c622e736348a947a958,000c8bca45c3d81615689518fcb0aaf1a000be17914a3a9acf048fc7d5226690,2645,doctrine-canonical-structure-remediation-01KYEYSD,tasks,ulid,software-dev,single_branch,not_accepted,cross_file_id;fence;frontmatter;link;non_ascii;table,role:tasks
cf0f7e3a7,kitty-specs/doctrine-governance-fidelity-01KW42KY/tasks/WP09-retire-override-allowlists.md,7f1d9148c008976998a4d48b18f489e0e653ba26,0072ee077af418fac64ea1bb31fa9bebb967753252923e6223c4312bfd2ab3b4,10146,doctrine-governance-fidelity-01KW42KY,wp_prompt,ulid,software-dev,lanes,accepted,cross_file_id;frontmatter;non_ascii,syntax:frontmatter
cf0f7e3a7,kitty-specs/documentation-mission-composition-fixup-01KQ6N5X/spec.md,aeb6e594ad520a7de078ae42a646e1f9bb6c34c0,0084fc65f410d26646f56f10bb854f185e5fe720dc0cc9a824f20c113d38da8d,14598,documentation-mission-composition-fixup-01KQ6N5X,spec,ulid,software-dev,lanes,not_accepted,cross_file_id;non_ascii;table,role:spec
cf0f7e3a7,kitty-specs/egress-refusal-consolidation-3110-01KYW895/spec.md,5d84540b025dc98bddcf96689f7fa0c950135a12,f3e0feb75b78ce4a605d09af2a4e69cbb975c38bf0b629268a74c7aa54fb61a6,175022,egress-refusal-consolidation-3110-01KYW895,spec,ulid,software-dev,lanes,not_accepted,cross_file_id;fence;frontmatter;non_ascii;table,size:large_runnable
cf0f7e3a7,kitty-specs/execution-context-unification-01KTPKST/spec.md,3939953cbac1cb281e5096990c6246ba31d8d62a,9600d08591d3a11b016f1266821522ac912940df65163e29341378eb56fb7c7e,13368,execution-context-unification-01KTPKST,spec,ulid,software-dev,lanes,accepted,cross_file_id;non_ascii;table,query_fixture:F-GOLD-A015
cf0f7e3a7,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper.md,1d1d9456e8545b1366a5b87b30a31e7fa4554941,c2b7f443fca2e7f349f406a0cc955682c1524d8e1c5566c39392e298831cda7e,6990,execution-context-unification-01KTPKST,wp_prompt,ulid,software-dev,lanes,accepted,cross_file_id;frontmatter;non_ascii,query_fixture:F-GOLD-A001
cf0f7e3a7,kitty-specs/execution-context-unification-01KTPKST/tasks/WP12-sync-daemon-singleton-reaper/review-cycle-2.md,0073c6d298182bb180a895db3670369f6d30e28f,3260220fc50531a0684fcb40fb83cd27078571522446a525b602cb44bd1ad418,3774,execution-context-unification-01KTPKST,wp_review,ulid,software-dev,lanes,accepted,cross_file_id;fence;frontmatter;non_ascii,query_fixture:F-EXEC-WP12
cf0f7e3a7,kitty-specs/gate-read-surface-completion-01KVW9B0/research/priti-preplan.md,009d6b0b4ca4f6fcc3d05c4ea91214ec151e9e2c,7e0ac134907a72a5bc5709ea30be66822bf56649af40dd3fb9e5d2ebc4258e55,12832,gate-read-surface-completion-01KVW9B0,research_findings,ulid,software-dev,single_branch,accepted,cross_file_id;frontmatter;non_ascii;table,query_fixture:F-GATE-PREPLAN
cf0f7e3a7,kitty-specs/journal-project-consent-3030-01KYKWQS/tracer-tooling-friction.md,a1e99cf22a43722d9349c83b620da5e79652888a,00c9f61448b3136ee33455e2465d4ec1b915a2f9d83104630a3d21a514c3a93a,48072,journal-project-consent-3030-01KYKWQS,other,ulid,software-dev,single_branch,not_accepted,cross_file_id;fence;non_ascii;table,topology:single_branch
cf0f7e3a7,kitty-specs/lifecycle-gate-execution-context-01KY72GQ/research/independent-review-2026-07-23.md,2cb480596cd471eaecc248f93fc3b3afb75b49ca,0014824aadee2fd9701ff1c7596b52cee20bccb16a3be2b60d25b13c6b7e22a3,15917,lifecycle-gate-execution-context-01KY72GQ,research_findings,ulid,software-dev,lanes,not_accepted,cross_file_id;frontmatter;non_ascii,role:research_findings
