bounded_context,artifact_kinds,module_symbols,role,contract_type,logical_surface,current_authority,C7_structural_canonical,C8_semantic_canonical,C9_graph_canonical,C5_derived_projection,rollback_obligation,coverage,source_ids
mission_templates,SPEC;RESEARCH;DATA_MODEL;FINALIZED_EXECUTION_PLAN,src/specify_cli/mission.py;src/specify_cli/template/asset_generator.py,producer and agent reader,Markdown template filenames headings placeholders and bodies,PRIMARY,versioned mission package files,requires every renderer/template reader migrated,requires lossless prose/template schema,requires graph-to-template renderer,consume outputs only,restore mission templates and generators,in_repo,sk-research-runtime;sk-recursive-scans
specification,SPEC,src/specify_cli/acceptance/__init__.py;runtime guards,human/agent reader and gate,filename headings requirement IDs tables raw bytes,PRIMARY,spec.md,requires byte-safe generated spec and all readers migrated,requires prose/table extensions and renderer,requires ordered human-readable renderer,read-only requirement index,restore immutable spec and writer,in_repo,sk-acceptance;sk-artifacts
plan_and_tasks,FINALIZED_EXECUTION_PLAN;TASKS_INDEX,src/specify_cli/acceptance/__init__.py;src/specify_cli/core/wps_manifest.py,producer reader and gate,filenames headings IDs YAML manifest and Markdown body,PRIMARY,plan.md;tasks.md;wps.yaml,requires compatible generated views,requires typed planning schema plus prose,requires graph ordering and prose renderer,project explicit links only,restore all planning blobs and generators,in_repo,sk-acceptance;sk-artifacts
work_package_prompt,WORK_PACKAGE_TASK,src/specify_cli/frontmatter.py;src/specify_cli/task_utils/support.py;src/specify_cli/status/wp_view.py,producer reader writer,WP filename YAML frontmatter prompt body and IDs,PRIMARY,WP Markdown,blocked by frontmatter/body fidelity and writer migration,requires complete typed prompt schema and renderer,requires graph-to-prompt renderer and ordering,index parser output only,restore WP blobs and FrontmatterManager,in_repo,sk-frontmatter;sk-recursive-scans
data_model_and_research,DATA_MODEL;RESEARCH,src/specify_cli/acceptance/__init__.py;src/specify_cli/cli/commands/research.py,producer reader and acceptance input,known filenames Markdown bodies CSV evidence subtree,PRIMARY,data-model.md;research.md;research/,requires lossless generated views and CSV compatibility,requires open prose/evidence extension,requires ordered document/evidence renderer,index only,restore files and research workflow,in_repo,sk-acceptance;sk-research-runtime
checklists,CHECKLIST,src/specify_cli/acceptance/__init__.py,producer and acceptance reader,path family Markdown checkboxes and links,PRIMARY,checklists/ and quickstart.md,requires checkbox/path fidelity,requires checklist schema and view,requires ordered checklist renderer,index completion facts only,restore checklist files,in_repo,sk-acceptance;sk-artifacts
analysis_report,ANALYSIS_REPORT,src/specify_cli/analysis_report.py;src/specify_cli/coordination/commit_router.py,producer validator commit router,filename frontmatter carrier freshness hashes and Markdown body,PRIMARY,analysis-report.md,requires carrier-compatible byte-safe view,requires report schema and freshness renderer,requires graph report renderer and freshness contract,index claims only,restore report and command writer,in_repo,sk-artifacts
issue_matrix,ISSUE_MATRIX,src/specify_cli/tasks/issue_matrix.py;src/specify_cli/cli/commands/review/_issue_matrix.py,producer reader writer,JSON authority with legacy Markdown fallback and filename classification,COORD,issue-matrix.json with .md fallback,requires migration of JSON and fallback readers,requires typed equivalent plus JSON compatibility,requires graph view plus JSON compatibility,index only,restore JSON/Markdown fallback and merge driver,in_repo,sk-artifacts;sk-review
tracer_files,TRACER_FILE,src/specify_cli/cli/commands/agent/tracer_append.py;src/specify_cli/retrospective/generator.py,append writer and retrospective reader,Markdown append body path family and placement,COORD,traces/*.md,requires append-safe generated view,requires typed append event and prose view,requires graph append transaction and prose view,index only,restore tracer tree and append writer,in_repo,sk-retrospective;sk-artifacts
review_cycles,REVIEW_CYCLE,src/specify_cli/review/artifacts.py;src/specify_cli/review/cycle.py,producer reader writer,review-cycle-N.md filename prose verdict/proof and merge driver,COORD,review-cycle Markdown plus verdict event,requires byte-safe view and event precedence,requires typed prose plus event integration,requires graph transaction plus readable proof,index proof spans and event verdict separately,restore artifacts events and merge driver,in_repo,sk-review;sk-upgrade
mission_identity,PRIMARY_METADATA,src/specify_cli/mission_metadata.py:MissionIdentity/load_meta/write_meta/record_acceptance;src/specify_cli/acceptance/__init__.py:perform_acceptance,producer reader writer,meta.json schema identity topology branches acceptance history,PRIMARY,meta.json,structural document cannot replace JSON authority,requires typed identity model and exact JSON view,requires graph writer and exact JSON view,join only,restore meta blob and ports,in_repo,sk-artifacts;sk-acceptance
runtime_status,STATUS_STATE,src/specify_cli/status/lifecycle_events.py;src/specify_cli/status/event_log_merge.py,append producer reducer and reader,JSONL events status.json projection and event precedence,COORD,status.events.jsonl,structural document is not event authority,requires typed event store and reducer migration,requires transactional graph event log,consume reduced state only,restore event log and regenerate projection,in_repo,sk-events
expected_artifacts,all declared kinds,src/specify_cli/dossier/manifest.py:ManifestRegistry;src/specify_cli/missions/research/mission.yaml;.kittify/overrides/missions/research/expected-artifacts.yaml,producer completeness reader and guard,path patterns classes required-by-step,PRIMARY,mission package manifest,requires every path pattern updated,requires compatible manifest generator,requires compatible manifest generator,index manifest facts only,restore manifests and guard config,in_repo,sk-research-runtime;sk-dossier-code
dossier,all indexed kinds,src/specify_cli/dossier/indexer.py:Indexer;src/specify_cli/dossier/hasher.py:hash_file/compute_dossier_snapshot_hash;src/specify_cli/dossier/snapshot.py:compute_snapshot;src/specify_cli/dossier/api.py:DossierAPIHandler,recursive producer cache reader API,raw paths bytes classification SHA-256 parity and completeness,PRIMARY/COORD logical read,source files plus derived snapshot,must index generated views and preserve logical placement,must index generated views and preserve logical placement,must index generated views and preserve logical placement,extend existing content-addressed cache only,delete cache and rebuild sources,in_repo,sk-dossier-code;sk-placement
review_workflow,WORK_PACKAGE_TASK;REVIEW_CYCLE;ISSUE_MATRIX,src/specify_cli/review/artifacts.py:ReviewCycleArtifact;src/specify_cli/review/cycle.py:create_rejected_review_cycle;src/specify_cli/review/verdict_aggregation.py:aggregate_verdicts,reader writer and gate,frontmatter prompt body review artifacts events and issue matrix,PRIMARY/COORD,split authored and event authorities,requires all files events and gates migrated,requires typed prose/events and full gate migration,requires graph transaction and full gate migration,additive query surface only,restore source files event stream and writers,in_repo,sk-review;sk-events
acceptance,all planning and evidence kinds,src/specify_cli/acceptance/__init__.py:perform_acceptance;src/specify_cli/acceptance/gates_core.py;src/specify_cli/acceptance/matrix.py,reader writer and terminal gate,artifact presence Markdown proofs JSON matrix events and meta,PRIMARY/COORD,split source/event authorities,requires full logical-reader migration,requires full typed schema and proof rendering,requires graph proof/event model and renderer,additive impact traversal only,restore sources events matrix and meta,in_repo,sk-acceptance;sk-placement
merge,WORK_PACKAGE_TASK;STATUS_STATE;REVIEW_CYCLE;TRACER_FILE,src/specify_cli/merge/preflight.py:_enforce_git_preflight;src/specify_cli/merge/executor.py:_run_lane_based_merge;src/specify_cli/merge/bookkeeping_projection.py:_project_status_bookkeeping_to_target,reader writer and Git operator,Git refs branches files merge drivers events and dirty classification,PRIMARY/COORD,Git plus artifact authorities,generated text must preserve merge-driver behavior,typed store needs transactional Git projection,graph store needs transactional Git projection,cache must never enter merge authority,restore pre-cutover commit refs and drivers,in_repo,sk-merge;sk-upgrade
retrospective,RETROSPECTIVE;TRACER_FILE,src/specify_cli/retrospective/generator.py;reader.py;writer.py,reader writer and post-merge gate,YAML schema source paths tracer Markdown and lifecycle events,PRIMARY plus COORD reads,retrospective.yaml,structural store only optional source input,typed model must render YAML and retain citations,graph must render YAML and retain citations,optional read-only input,restore YAML/tracers and generator,in_repo,sk-retrospective
hosted_sync,allowlisted artifact bodies,src/specify_cli/sync/body_upload.py;body_transport.py,derived producer queue and remote consumer,basename allowlist body bytes hash consent epoch queue and deletion,local/hosted,consented source body copy,new document/graph body needs separate consent,new semantic body/chunks need separate consent,new graph/provenance body needs separate consent,local-only unless separately admitted,purge queue hosted copy and local cache,in_repo,sk-sync
