decision_question,supporting_sources,challenging_sources,status,claim_limit
What graph value is technically available,dg-schema;dg-relationships;dg-export,sk-dossier-code;emp-results,saturated_capability_only,Traversal and export are capabilities not measured user value
Can structural Docling preserve canonical Markdown,dg-inputs;dg-export,emp-results,saturated_for_C7_structural_only,Exact byte and declared construct failures reject only the tested structural canonical replacement
Can semantic extraction recover mission facts,dg-schema;dg-provenance,dg-inputs;emp-results,defer_UNKNOWN,No approved local generative backend
Is provenance sufficient for critical facts,dg-provenance,emp-results;sk-events,saturated_for_upstream_contract,Node grounding does not prove every property or edge
Are identities safe across missions,dg-converter;dg-merge,sk-artifacts;sk-placement,saturated,Explicit repository and mission namespace still required
What authority and migration seams exist,sk-artifacts;sk-placement;sk-frontmatter;sk-events,sk-review;sk-acceptance;sk-merge;sk-retrospective,saturated_in_repo,Out-of-tree consumers remain residual
What operational cost was observed,dg-packaging,emp-results,saturated_macos_only,Integration latency cache/model bytes Linux and Windows remain UNKNOWN
Can privacy be proven locally,dg-inference;sk-sync,emp-results,blocked_UNKNOWN,Containment compatibility failed before conversion; leakage residue and cleanup behavior remain UNKNOWN
Is adoption worth it,dg-export;dg-relationships,sk-dossier-code;emp-results,defer_UNKNOWN,No fair utility benchmark user demand or production evidence
Is a deterministic native projection promising,sk-dossier-code;sk-events,dg-schema;emp-results,defer_to_separate_research,Lowest-authority-disruption hypothesis only; needs user-validated jobs and a fair candidate contract before any implementation pilot
