source_id,citation,url,accessed_date,relevance,status
dg-packaging,"Docling Project (2026). Docling Graph package and dependency contract v1.9.1.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/pyproject.toml,2026-08-18,high,reviewed
dg-inputs,"Docling Project (2026). Input formats and Markdown input contracts.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docs/fundamentals/pipeline-configuration/input-formats.md,2026-08-18,high,reviewed
dg-schema,"Docling Project (2026). Pydantic schema definition contract.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docs/fundamentals/schema-definition/template-basics.md,2026-08-18,high,reviewed
dg-relationships,"Docling Project (2026). Graph relationship schema contract.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docs/fundamentals/schema-definition/relationships.md,2026-08-18,high,reviewed
dg-converter,"Docling Project (2026). GraphConverter and NodeIDRegistry source.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docling_graph/core/converters/graph_converter.py,2026-08-18,high,reviewed
dg-provenance,"Docling Project (2026). Provenance models, binder, and anchor-scan source set.",https://github.com/docling-project/docling-graph/tree/19815e3147503f78a06e263255667e237830bab9/docling_graph/core/provenance,2026-08-18,high,reviewed
dg-export,"Docling Project (2026). Export configuration and formats.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docs/fundamentals/pipeline-configuration/export-configuration.md,2026-08-18,medium,reviewed
dg-merge,"Docling Project (2026). Deterministic graph merge contract.",https://github.com/docling-project/docling-graph/blob/19815e3147503f78a06e263255667e237830bab9/docs/usage/cli/merge-command.md,2026-08-18,high,reviewed
dg-inference,"Docling Project (2026). Local and remote inference provider client source set.",https://github.com/docling-project/docling-graph/tree/19815e3147503f78a06e263255667e237830bab9/docling_graph/llm_clients,2026-08-18,high,reviewed
sk-charter,"Spec Kitty (2026). Project charter at cf0f7e3.",https://github.com/Priivacy-ai/spec-kitty/blob/cf0f7e3a7db149f8b73006f9bca8bb97df880704/.kittify/charter/charter.md,2026-08-18,high,reviewed
sk-artifacts,"Spec Kitty (2026). Mission artifact kind and partition authority.",https://github.com/Priivacy-ai/spec-kitty/blob/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/mission_runtime/artifacts.py,2026-08-18,high,reviewed
sk-placement,"Spec Kitty (2026). Artifact placement seam architecture.",https://github.com/Priivacy-ai/spec-kitty/blob/cf0f7e3a7db149f8b73006f9bca8bb97df880704/docs/architecture/artifact-placement-seam.md,2026-08-18,high,reviewed
sk-frontmatter,"Spec Kitty (2026). Canonical Markdown frontmatter manager.",https://github.com/Priivacy-ai/spec-kitty/blob/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/frontmatter.py,2026-08-18,high,reviewed
sk-dossier-code,"Spec Kitty (2026). Dossier index, hash, manifest, snapshot, and API source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/dossier,2026-08-18,high,reviewed
sk-events,"Spec Kitty (2026). Canonical lifecycle event readers, reducers, projections, and merge source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/status,2026-08-18,high,reviewed
sk-research-runtime,"Spec Kitty (2026). Research mission runtime and expected artifacts.",https://github.com/Priivacy-ai/spec-kitty/blob/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/missions/research/mission.yaml,2026-08-18,medium,reviewed
sk-sync,"Spec Kitty (2026). Hosted artifact body consent, queue, and transport source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/sync,2026-08-18,high,reviewed
sk-review,"Spec Kitty (2026). Review artifacts, cycles, verdicts, and aggregation source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/review,2026-08-18,high,reviewed
sk-acceptance,"Spec Kitty (2026). Acceptance gates, matrix, and artifact consumer source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/acceptance,2026-08-18,high,reviewed
sk-merge,"Spec Kitty (2026). Mission merge preflight, executor, and bookkeeping source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/merge,2026-08-18,high,reviewed
sk-retrospective,"Spec Kitty (2026). Retrospective generator, reader, and writer source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/retrospective,2026-08-18,high,reviewed
sk-upgrade,"Spec Kitty (2026). Upgrade migrations and repair source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/upgrade,2026-08-18,high,reviewed
sk-recursive-scans,"Spec Kitty (2026). Upgrade recursive and glob discovery source set.",https://github.com/Priivacy-ai/spec-kitty/tree/cf0f7e3a7db149f8b73006f9bca8bb97df880704/src/specify_cli/upgrade,2026-08-18,high,reviewed
emp-results,"Spec Kitty research mission (2026). Frozen corpus and Docling empirical result bundle.",docs/research/docling-graph-kitty-specs/data/results-summary.json,2026-08-18,high,reviewed
