finding_id,claim,verdict,evidence_source,command_or_locator,notes
F-01,"A fresh clone can drain events Chain A denies",CONFIRMED,S-03,"src/specify_cli/sync/body_upload.py:78-82","Mechanism named in-source: routing honours repo-slug-keyed [sync.repo_defaults]; a fresh clone or re-git-init inherits a decision nobody made about it"
F-02,"sync/batch.py:338 still walks Chain B",CONFIRMED,S-01,"grep -n is_sync_enabled_for_checkout src/specify_cli/sync/batch.py -> :27 import, :338 call","Called with no argument, so start=None resolves from process cwd"
F-03,"sync/runtime.py:106 still walks Chain B",CONFIRMED,S-06,"grep -n is_sync_enabled_for_checkout src/specify_cli/sync/runtime.py -> :37 import, :106 call","But see F-07: this is the auto-start decision, not an egress boundary"
F-04,"The canonical replacement exists and is adopted elsewhere",CONFIRMED,S-07,"git grep -n consented_project_uuids src/ -> 12 importer sites","Chain A is broadly adopted; this is a residual, not a greenfield migration"
F-05,"The fix at batch.py is not a call swap but per-event partitioning",CONFIRMED,"S-04,S-05","src/specify_cli/sync/runtime.py:227-229; src/specify_cli/sync/background.py:280-299","Source explicitly warns that a batching caller would let one consenting project authorize every other project in the batch"
F-06,"Per-event identity is reachable in the drain",CONFIRMED,"S-05,S-08","resolve_event_project_uuid reached at src/specify_cli/sync/runtime.py:237; drain rows are event dicts from src/specify_cli/sync/queue.py:651","Identity comes from a body read (dotted path), not a column; the event table has no project_uuid column unlike body_upload_queue"
F-07,"runtime.py:106 is not an egress boundary",CONFIRMED,S-06,"src/specify_cli/sync/runtime.py:139-148","Code states auto_start is NOT consent and must never be unified with sync.enabled; the real egress gate is event_project_consents_to_publish at :196"
F-08,"The source falsely claims the drain is already on Chain A",CONFIRMED,S-05,"src/specify_cli/sync/runtime.py:203-205","Names 'the drain' among seams reaching the single chain; batch.py:338 does not. Must be corrected or made true"
F-09,"Existing test coverage for the batch consent gate",UNVERIFIED,n/a,"pytest tests/sync -k 'batch and (consent or drain)' --collect-only -q (quote the count); git grep -ln '_is_checkout_sync_enabled_for_batch' -- tests/","Absence must establish why the thing would otherwise have been present -- settle with a collection count, not an impression"
F-10,"This mission owns 3 of M3's 12 pinned-leak files",CONFIRMED,S-10,"tests/sync/_leak_guard.py:420,:442,:452","Hazard H1; resolved by serialisation (operator decision D3=a), must be named in every work-package brief"
