fact_class,canonical_authority,canonical_reader,permitted_writer,conflict_winner,mutation_transaction,lifecycle_owner,freshness_rule,physical_surface,graph_treatment,C7_structural_cutover,C8_semantic_cutover,C9_graph_cutover,C5_derived_projection,rollback_contract,source_ids
mission_identity,meta.json,mission metadata ports,mission creation and acceptance commands,meta.json over derived labels,atomic JSON update plus Git commit,mission lifecycle,read current resolved PRIMARY blob,PRIMARY,copy as sourced node,retain separate meta authority or migrate all ports,typed model must own identity and render identical meta,graph writer must render identical meta,join by mission_id without writing,restore pre-cutover meta commit,sk-artifacts;sk-placement
requirement_prose_and_status,spec.md headings and tables,human/agent readers and acceptance checks,specification workflow,spec.md over inferred graph,author edit plus Git commit,planning lifecycle,current PRIMARY blob hash,PRIMARY,derive claims with P0 spans,requires deterministic byte-safe view and all reader migration,typed model needs explicit prose/status schema and view,graph needs ordered text/table view and sole writer,index only; never mutate,restore immutable source blob and writer,sk-artifacts;sk-acceptance
methodology_and_plan,plan.md body and identifiers,human/agent readers and gates,planning workflow,plan.md over inferred graph,author edit plus Git commit,planning lifecycle,current PRIMARY blob hash,PRIMARY,derive claims with P0 spans,requires deterministic byte-safe view,typed model needs lossless prose extension,graph needs ordered human-readable view,index only; never mutate,restore immutable source blob and writer,sk-artifacts;sk-research-runtime
wp_authored_metadata,WP Markdown YAML frontmatter,FrontmatterManager and task/review commands,task generation and mapping commands,frontmatter over event inference for authored dependencies/refs/files,comment-preserving file rewrite plus Git commit,planning lifecycle,current resolved PRIMARY blob,PRIMARY,deterministic typed projection,blocked by observed frontmatter loss,requires canonical typed schema and compatible frontmatter renderer,requires canonical graph schema and compatible frontmatter renderer,hash-bound projection from parser output,restore source blob and FrontmatterManager ownership,sk-frontmatter
wp_prompt_body,WP Markdown body,human/agent implement and review readers,task generator,body text over inferred summaries,file write plus Git commit,execution planning,current resolved PRIMARY blob,PRIMARY,derive claims with spans,requires byte-safe prompt view,requires lossless prompt/prose field,requires ordered prompt renderer,index only,restore source blob,sk-review;sk-artifacts
wp_dynamic_state,status.events.jsonl,status reducers and runtime commands,event appenders,event log over stale frontmatter/status.json,append event then reduce projections,status lifecycle,current resolved COORD event head,COORD,join as separately sourced claims,must preserve separate event authority or migrate entire reducer,would require typed event authority not document inference,would require graph event log semantics and transactional append,consume reduced snapshot read-only,restore event log and derived snapshots,sk-events;sk-placement
reviewer_prose,review-cycle-N.md,review artifact readers,review workflow,review artifact for prose and proof only,write review artifact plus commit,review lifecycle,current resolved REVIEW_CYCLE blob,COORD,derive proof claims with spans,requires byte-safe review view,requires lossless prose schema,requires ordered review renderer,index only,restore review artifacts and merge driver,sk-review;sk-artifacts
review_verdict,status events/review verdict seam,status reducer and verdict aggregation,verdict capture command,event-sourced verdict over prose label,append verdict event and update allowed projection,review lifecycle,current reduced event state,COORD,join verdict with event provenance,must migrate append/reducer path,would require typed event writer,would require graph event transaction,consume only; do not infer from review prose,restore canonical event stream,sk-review;sk-events
acceptance_proof,acceptance-matrix.json and source proof artifacts,acceptance gates and summaries,accept command,matrix/event authorities by fact class,gate run then atomic artifacts/events,acceptance lifecycle,recompute from current logical surfaces,PRIMARY/COORD,keep sourced facts distinct,requires all gate/manifest readers migrated,typed model must preserve proof artifact paths,graph must preserve exact proof paths/spans,projection can join but not override,restore matrix events and source artifacts,sk-acceptance;sk-events
accepted_at,meta.json acceptance history,mission metadata reader,accept command,accepted_at history over authored requirement status,atomic meta update after gates,acceptance lifecycle,current PRIMARY meta blob,PRIMARY,distinct acceptance claim,requires compatible meta view,typed model must render meta exactly,graph writer must render meta exactly,join without declaring contradiction,restore pre-accept meta and event records,sk-acceptance
artifact_placement,MissionArtifactKind partitions and PlacementSeam,mission_runtime resolution,code changes only,code authority over inferred paths,versioned code change plus cross-reader migration,runtime architecture,installed code revision,code authority,model as architecture metadata only,cannot become document-owned,cannot become semantic-model-owned,cannot become graph-owned,may expose placement as read-only metadata,revert code change,sk-artifacts;sk-placement
artifact_inventory,dossier snapshot plus source bytes,dossier indexer/hasher/API,dossier rebuild,source bytes win over cached snapshot,content-addressed rebuild,dossier lifecycle,parity hash against logical read model,derived local cache,reuse identities/hashes,does not need canonical migration,does not need canonical migration,does not need canonical migration,extend only if new queries prove value,delete cache and rebuild,sk-dossier-code
research_sources,research/source-register.csv,research runtime and reviewers,research gathering workflow,registered CSV row over graph citation inference,CSV edit plus Git commit,research lifecycle,current PRIMARY blob,PRIMARY,source nodes and citation edges,requires compatible CSV/view contract,typed model needs citation export,graph needs citation export,projection only,restore source register blob,sk-research-runtime
hosted_artifact_body,allowlisted consented source copy,body queue/transport,SaaS sync after consent,local source authority over hosted copy,consent-bound queued upload,sync lifecycle,content hash plus consent generation,hosted derived copy,never fact authority,new body type requires separate consent/deletion,new body type requires separate consent/deletion,new body type requires separate consent/deletion,local graph retention only unless separately admitted,delete hosted copy/cache and revoke queue,sk-sync
semantic_entities_and_edges,no current authority,N/A,no canonical writer,authored/event facts always win,N/A,derived candidate lifecycle,schema/model/input hash required,derived cache,inferred claims labelled with provenance,cannot silently become authority,typed canonical option untested,graph canonical option untested,optional enrichment only,delete semantic layer and model residue,dg-schema;dg-provenance
